System,Device,SensingDevice,Sensor,name,value,timestamp,location
MA TestSystem,device_main,raspberry,,processor,21.25,2021-01-03 06:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,-127.0,2021-01-03 06:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.195,2021-01-03 06:00:05+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.35,2021-01-03 07:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.25,2021-01-03 07:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,-127.0,2021-01-03 07:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,4.99,2021-01-03 07:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,4.99,2021-01-03 07:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.25,2021-01-03 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,-127.0,2021-01-03 07:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.35,2021-01-03 07:00:05+01:00,room2
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.376666666666665,2021-01-03 08:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.31,2021-01-03 08:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,22.565,2021-01-03 08:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.07,2021-01-03 08:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,5.07,2021-01-03 08:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.376666666666665,2021-01-03 08:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,22.565,2021-01-03 08:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.31,2021-01-03 08:00:05+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,4.895,2021-01-03 09:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.74,2021-01-03 09:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.63,2021-01-03 09:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.0,2021-01-03 09:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,4.895,2021-01-03 09:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.74,2021-01-03 09:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,20.0,2021-01-03 09:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.63,2021-01-03 09:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.44,2021-01-03 10:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.55,2021-01-03 10:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.00333333333333,2021-01-03 10:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,4.984999999999999,2021-01-03 10:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,4.984999999999999,2021-01-03 10:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.55,2021-01-03 10:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.44,2021-01-03 10:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,20.00333333333333,2021-01-03 10:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.28,2021-01-03 11:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.06,2021-01-03 11:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.58333333333333,2021-01-03 11:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.34,2021-01-03 11:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.58333333333333,2021-01-03 11:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.28,2021-01-03 11:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.34,2021-01-03 11:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,20.06,2021-01-03 11:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.94,2021-01-03 12:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.30333333333333,2021-01-03 12:00:00+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.34,2021-01-03 12:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.50333333333333,2021-01-03 12:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.50333333333333,2021-01-03 12:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.34,2021-01-03 12:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,19.94,2021-01-03 12:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.30333333333333,2021-01-03 12:00:05+01:00,room2
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.34,2021-01-03 13:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.565,2021-01-03 13:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.06,2021-01-03 13:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.35,2021-01-03 13:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.34,2021-01-03 13:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.565,2021-01-03 13:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.35,2021-01-03 13:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,20.06,2021-01-03 13:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.375,2021-01-03 14:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.035,2021-01-03 14:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.44,2021-01-03 14:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.713333333333334,2021-01-03 14:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,20.035,2021-01-03 14:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.713333333333334,2021-01-03 14:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.375,2021-01-03 14:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.44,2021-01-03 14:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.36,2021-01-03 15:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.535,2021-01-03 15:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.94,2021-01-03 15:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.305,2021-01-03 15:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,5.305,2021-01-03 15:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.36,2021-01-03 15:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.94,2021-01-03 15:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.535,2021-01-03 15:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.39,2021-01-03 16:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.875,2021-01-03 16:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.0,2021-01-03 16:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.21,2021-01-03 16:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,19.875,2021-01-03 16:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.39,2021-01-03 16:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,22.0,2021-01-03 16:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.21,2021-01-03 16:00:05+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.28,2021-01-03 17:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.875,2021-01-03 17:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.875,2021-01-03 17:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.14,2021-01-03 17:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,5.14,2021-01-03 17:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,19.875,2021-01-03 17:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.28,2021-01-03 17:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.875,2021-01-03 17:00:05+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.09,2021-01-03 18:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.81,2021-01-03 18:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.313333333333333,2021-01-03 18:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.095,2021-01-03 18:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,19.81,2021-01-03 18:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.095,2021-01-03 18:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.313333333333333,2021-01-03 18:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.09,2021-01-03 18:00:05+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.0,2021-01-03 19:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.07,2021-01-03 19:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.36,2021-01-03 19:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.375,2021-01-03 19:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,22.375,2021-01-03 19:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.07,2021-01-03 19:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,20.0,2021-01-03 19:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.36,2021-01-03 19:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.88,2021-01-03 20:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.42,2021-01-03 20:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.146666666666665,2021-01-03 20:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.086666666666667,2021-01-03 20:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.146666666666665,2021-01-03 20:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.086666666666667,2021-01-03 20:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.42,2021-01-03 20:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.88,2021-01-03 20:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,20.0,2021-01-03 21:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,22.093333333333334,2021-01-03 21:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,22.47,2021-01-03 21:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.09,2021-01-03 21:00:00+01:00,outside
MA TestSystem,device_main,raspberry,,processor,22.47,2021-01-03 21:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,22.093333333333334,2021-01-03 21:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,20.0,2021-01-03 21:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.09,2021-01-03 21:00:05+01:00,outside
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.265,2021-01-03 22:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.5,2021-01-03 22:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.5175,2021-01-03 22:00:00+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,21.646666666666665,2021-01-03 22:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.265,2021-01-03 22:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.646666666666665,2021-01-03 22:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.5,2021-01-03 22:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.5175,2021-01-03 22:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.485,2021-01-03 23:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.08333333333333,2021-01-03 23:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.265,2021-01-03 23:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,21.646666666666665,2021-01-03 23:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.485,2021-01-03 23:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.08333333333333,2021-01-03 23:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.265,2021-01-03 23:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.646666666666665,2021-01-03 23:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.793333333333333,2021-01-04 00:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.855,2021-01-04 00:00:00+01:00,outside
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.0,2021-01-04 00:00:00+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.26,2021-01-04 00:00:00+01:00,room2
MA TestSystem,device_main,raspberry,,processor,19.793333333333333,2021-01-04 00:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,21.26,2021-01-04 00:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,5.855,2021-01-04 00:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.0,2021-01-04 00:00:05+01:00,room1
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.815,2021-01-04 01:00:00+01:00,room1
MA TestSystem,device_out,aqara_multisensor_2,aqara_temp_2,t4,5.33,2021-01-04 01:00:00+01:00,outside
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,21.1,2021-01-04 01:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_1,ds18b20_1,t1,21.0,2021-01-04 01:00:00+01:00,room1
MA TestSystem,device_main,raspberry,,processor,5.33,2021-01-04 01:00:05+01:00,outside
MA TestSystem,device_main,raspberry,,processor,21.1,2021-01-04 01:00:05+01:00,room2
MA TestSystem,device_main,raspberry,,processor,21.0,2021-01-04 01:00:05+01:00,room1
MA TestSystem,device_main,raspberry,,processor,19.815,2021-01-04 01:00:05+01:00,room1
MA TestSystem,device_in_2,aqara_multisensor_1,aqara_temp_1,t3,20.96,2021-01-04 02:00:00+01:00,room2
MA TestSystem,device_in_1,esp8266_2,ds18b20_2,t2,19.815,2021-01-04 02:00:00+01:00,room1
